Cell	Drug	Drug_Name
SIDM00898	3005573	Toremifene
SIDM00928	3005573	Toremifene
SIDM00933	3005573	Toremifene
SIDM00630	3005573	Toremifene
SIDM00529	3005573	Toremifene
SIDM00920	3005573	Toremifene
SIDM00892	3005573	Toremifene
SIDM00629	3005573	Toremifene
SIDM01002	3005573	Toremifene
SIDM00881	3005573	Toremifene
SIDM00870	3005573	Toremifene
SIDM01062	3005573	Toremifene
SIDM01037	3005573	Toremifene
SIDM00631	3005573	Toremifene
SIDM00866	3005573	Toremifene
SIDM00005	3005573	Toremifene
SIDM00147	3005573	Toremifene
SIDM00314	3005573	Toremifene
SIDM00897	3005573	Toremifene
SIDM01590	3005573	Toremifene
SIDM01591	3005573	Toremifene
SIDM01594	3005573	Toremifene
SIDM01622	3005573	Toremifene
SIDM01701	3005573	Toremifene
SIDM01702	3005573	Toremifene
SIDM00885	23642301	Elacestrant
SIDM00877	23642301	Elacestrant
SIDM00774	23642301	Elacestrant
SIDM00772	23642301	Elacestrant
SIDM00954	23642301	Elacestrant
SIDM01001	23642301	Elacestrant
SIDM01042	23642301	Elacestrant
SIDM00562	23642301	Elacestrant
SIDM00241	23642301	Elacestrant
SIDM01187	23642301	Elacestrant
SIDM00332	23642301	Elacestrant
SIDM00938	23642301	Elacestrant
SIDM00963	23642301	Elacestrant
SIDM00879	23642301	Elacestrant
SIDM00872	23642301	Elacestrant
SIDM00884	23642301	Elacestrant
SIDM00874	23642301	Elacestrant
SIDM00675	23642301	Elacestrant
SIDM00097	23642301	Elacestrant
SIDM00148	23642301	Elacestrant
SIDM00122	23642301	Elacestrant
SIDM00135	23642301	Elacestrant
