Cell	Drug	Drug_Name
SIDM01954	51039094	Tucatinib
SIDM01955	51039094	Tucatinib
SIDM01956	51039094	Tucatinib
SIDM01959	51039094	Tucatinib
SIDM01960	51039094	Tucatinib
SIDM01962	51039094	Tucatinib
SIDM01963	51039094	Tucatinib
SIDM01966	51039094	Tucatinib
SIDM02015	51039094	Tucatinib
SIDM02016	51039094	Tucatinib
SIDM02017	51039094	Tucatinib
SIDM02018	51039094	Tucatinib
SIDM02019	51039094	Tucatinib
SIDM02022	51039094	Tucatinib
SIDM02025	51039094	Tucatinib
SIDM02026	51039094	Tucatinib
SIDM02027	51039094	Tucatinib
SIDM02029	51039094	Tucatinib
SIDM02030	51039094	Tucatinib
SIDM02034	51039094	Tucatinib
SIDM02035	51039094	Tucatinib
SIDM02038	51039094	Tucatinib
SIDM02039	51039094	Tucatinib
SIDM02041	51039094	Tucatinib
SIDM02043	51039094	Tucatinib
SIDM02044	51039094	Tucatinib
SIDM02045	51039094	Tucatinib
SIDM02047	51039094	Tucatinib
SIDM02048	51039094	Tucatinib
SIDM02050	51039094	Tucatinib
SIDM02051	51039094	Tucatinib
SIDM02053	51039094	Tucatinib
SIDM02055	51039094	Tucatinib
SIDM02057	51039094	Tucatinib
SIDM02059	51039094	Tucatinib
SIDM02062	51039094	Tucatinib
SIDM02063	51039094	Tucatinib
SIDM02064	51039094	Tucatinib
SIDM02065	51039094	Tucatinib
SIDM02066	51039094	Tucatinib
SIDM02067	51039094	Tucatinib
SIDM02069	51039094	Tucatinib
SIDM02072	51039094	Tucatinib
SIDM02073	51039094	Tucatinib
SIDM02075	51039094	Tucatinib
SIDM02077	51039094	Tucatinib
