Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
53,CGP-60474,"KIN001-019, CGP60474, CGP 60474",644215,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,GDSC1,MGH,GDSC
154,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021",9956119,"GSK3A, GSK3B",WNT signaling,GDSC1,MGH,GDSC
1241,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021",9956119,"GSK3A, GSK3B",WNT signaling,GDSC1,SANGER,GDSC
2175,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021",9956119,"GSK3A, GSK3B",WNT signaling,GDSC2,SANGER,GDSC
362,CI-1033,NA,156414,"EGFR, ERBB2, ERBB4",RTK signaling,GDSC1,MGH,PubChem [ID Exchange]
1015,CI-1040,"CI 1040, PD-18435, PD-184352, 212631-79-3",6918454,"MEK1, MEK2",ERK MAPK signaling,GDSC1,SANGER,GDSC
64,CMK,KIN001-128,16663089,RSK2,"Other, kinases",GDSC1,MGH,GDSC
152,CP466722,"CP-466722, CP 466722, 1080622-86-1",44551660,ATM,Genome integrity,GDSC1,MGH,GDSC
255,CP724714,CP-724714,9874913,ERBB2,EGFR signaling,GDSC1,MGH,GDSC
415,CPI-613,NA,24770514,"Metabo, Mitochondria",Other,GDSC1,MGH,PubChem [ID Exchange]
2158,CPI-637,NA,121271792,EP300,Chromatin histone methylation,GDSC2,SANGER,PubChem [ID Exchange]
1071,CRT0105446,NA,117918919,"mTOR, LCK",PI3K/MTOR signaling,GDSC1,SANGER,Manual Search
1070,CRT0105950,NA,117918970,"JNK1, JNK2, JNK3",JNK and p38 signaling,GDSC1,SANGER,PubChem [ID Exchange]
1183,CRT0160829,NA,NA,CDC7,DNA replication,GDSC1,SANGER,NA
2149,CT7033-2,NA,NA,"KDM4A, KDM4C, KDM4E, KDM3A, KDM6B",Chromatin histone methylation,GDSC2,SANGER,NA
273,CUDC-101,CUDC 101,24756910,"HDAC1-10, EGFR, ERBB2",Other,GDSC1,MGH,GDSC
300,CX-5461,"CX5461, CX 5461",25257557,RNA Polymerase 1,Other,GDSC1,MGH,GDSC
1615,CZC24832,GTPL6653,42623951,PI3Kgamma,PI3K/MTOR signaling,GDSC2,SANGER,GDSC
249,Cabozantinib,"BMS-907351, XL-184, Cometriq",25102847,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",RTK signaling,GDSC1,MGH,GDSC
1003,Camptothecin,"Camptothecine, (+)-Camptothecin",24360,TOP1,DNA replication,GDSC2,SANGER,GDSC
1136,Capivasertib,AZ5363,25227436,AKT,PI3K/MTOR signaling,GDSC1,SANGER,PubChem [ID Exchange]
1807,Carmustine,NA,2578,NA,NA,GDSC2,SANGER,PubChem [ID Exchange]
1922,Cediranib,"AZD2171, AZD 2171, AZD-2171, Recentin",9933475,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling,GDSC2,SANGER,GDSC
1114,Cetuximab,"Erbitux, IMC-C225, C225, IMC-225, L01XC06",85668777,EGFR,EGFR signaling,GDSC1,SANGER,GDSC
1005,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",5702198,DNA crosslinker,DNA replication,GDSC1,SANGER,PubChem [ID Exchange]
1496,Cisplatin,Cisplatin,5702198,DNA crosslinker,DNA replication,GDSC1,SANGER,PubChem [ID Exchange]
1005,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",5702198,DNA crosslinker,DNA replication,GDSC2,SANGER,PubChem [ID Exchange]
37,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066",11626560,"MET, ALK, ROS1",RTK signaling,GDSC1,MGH,GDSC
1083,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066",11626560,"MET, ALK, ROS1",RTK signaling,GDSC2,SANGER,GDSC
17,Cyclopamine,NA,442972,SMO,Other,GDSC1,MGH,PubChem [ID Exchange]
1512,Cyclophosphamide,"Cytoxan, Neosar, Cyclophosphamid, Procytox, Cyclophosphane",2907,Alkylating agent,DNA replication,GDSC2,SANGER,GDSC
1006,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",6253,Antimetabolite,Other,GDSC1,SANGER,GDSC
1006,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",6253,Antimetabolite,Other,GDSC2,SANGER,GDSC
165,DMOG,Dimethyloxalylglcine,560326,HIF-PH,Metabolism,GDSC1,MGH,GDSC
1373,Dabrafenib,"GSK2118436, Tafinlar",44462760,BRAF,ERK MAPK signaling,GDSC1,SANGER,GDSC
1373,Dabrafenib,"GSK2118436, Tafinlar",44462760,BRAF,ERK MAPK signaling,GDSC2,SANGER,GDSC
1815,Dacarbazine,DTIC,135398738,CP11A,Other,GDSC2,SANGER,PubChem [ID Exchange]
200,Dacinostat,"NVP-LAQ824, LAQ824",6445533,HDAC1,Chromatin histone acetylation,GDSC1,MGH,GDSC
1811,Dactinomycin,Actinomycin D,457193,RNA polymerase,Other,GDSC2,SANGER,PubChem [ID Exchange]
1911,Dactinomycin,"Actinomycin D, Cosmegen, Lyovac, Meractinomycin, Ac-De, ActD",457193,RNA polymerase,Other,GDSC2,SANGER,PubChem [ID Exchange]
1057,Dactolisib,"NVP-BEZ235, BEZ235",11977753,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,GDSC1,SANGER,GDSC
1057,Dactolisib,"NVP-BEZ235, BEZ235",11977753,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1248,Daporinad,"APO866,  FK866, FK866",6914657,NAMPT,Metabolism,GDSC1,SANGER,GDSC
1248,Daporinad,"APO866,  FK866, FK866",6914657,NAMPT,Metabolism,GDSC2,SANGER,GDSC
51,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel",3062316,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling,GDSC1,MGH,GDSC
1079,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel",3062316,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",GDSC2,SANGER,GDSC
1827,Dihydrorotenone,NA,243725,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
