"SANGER_MODEL_ID","BROAD_ID","COSMIC_ID","CCLE_ID","RRID","MODEL_NAME","SYNONYMS","TCGA_CODE","TISSUE","CANCER_TYPE","CANCER_TYPE_DETAIL"
"SIDM01746","ACH-000154",NA,"HS888T_FIBROBLAST",NA,"Hs-888-T",NA,NA,"Bone","Osteosarcoma","Osteosarcoma"
"SIDM01778","ACH-000158",NA,"OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"OCI-Ly3",NA,"ABC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM01695","ACH-000166",NA,"KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"KASUMI-6",NA,"AML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM01728","ACH-000173",NA,"JHUEM3_ENDOMETRIUM",NA,"JHUEM-3",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM01724","ACH-000180",NA,"HS839T_FIBROBLAST",NA,"Hs-839-T",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM01667","ACH-000220",NA,"MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"Mino",NA,"MCL","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Mantle Cell Lymphoma"
"SIDM01699","ACH-000224",NA,"HS819T_FIBROBLAST",NA,"Hs-819-T",NA,NA,"Bone","Chondrosarcoma","Chondrosarcoma"
"SIDM01709","ACH-000275",NA,"HS834T_FIBROBLAST",NA,"Hs-834-T",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM00680","ACH-000957","998189","LS180_LARGE_INTESTINE","CVCL_0397","LS-180",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01725","ACH-000284",NA,"HS840T_FIBROBLAST",NA,"Hs-840-T",NA,NA,"Head and Neck","Non-Cancerous","Squamous Papilloma"
"SIDM01758","ACH-000285",NA,"TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"Toledo",NA,"DLBCLNOS","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM01659","ACH-000313",NA,"KMRC3_KIDNEY",NA,"KMRC-3",NA,"CCRCC","Kidney","Kidney Carcinoma","Clear Cell Renal Cell Carcinoma"
"SIDM01691","ACH-000321",NA,"MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MOLM-6",NA,"CML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM01749","ACH-000340",NA,"HS870T_FIBROBLAST",NA,"Hs-870-T",NA,NA,"Bone","Osteosarcoma","Osteosarcoma"
"SIDM01690","ACH-000453",NA,"MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MOLP-2",NA,"PCM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01686","ACH-000462",NA,"NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"NALM-1",NA,"CML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM01696","ACH-000645",NA,"JL1_PLEURA",NA,"JL-1",NA,"PLEMESO","Lung","Mesothelioma","Malignant Pleural Mesothelioma"
"SIDM00537","ACH-001345","907291","GP5D_LARGE_INTESTINE","CVCL_1235","GP5d",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01710","ACH-000797",NA,"HLFA_FIBROBLAST",NA,"HLF-a",NA,NA,"Lung","Squamous Cell Lung Carcinoma","Squamous Cell Lung Carcinoma"
"SIDM01729","ACH-000909",NA,"JHUEM2_ENDOMETRIUM",NA,"JHUEM-2",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM01706","ACH-001093",NA,"HS604T_FIBROBLAST",NA,"Hs-604-T",NA,NA,"Haematopoietic and Lymphoid","Hodgkin's Lymphoma","Hodgkin's Lymphoma"
"SIDM00784","ACH-000126","1240164","KG1C_CENTRAL_NERVOUS_SYSTEM","CVCL_2971","KG-1-C",NA,"ODG","Central Nervous System","Glioma","Mixed Glioma"
"SIDM00803","ACH-000411","910922","769P_KIDNEY","CVCL_1050","769-P",NA,"KIRC","Kidney","Kidney Carcinoma","Clear Cell Renal Cell Carcinoma"
